titulo;descripcion;categoria;fecha_acontecimiento;DisNo.;Historic;Classification Key;Disaster Group;Disaster Subgroup;Disaster Type;Disaster Subtype;External IDs;Event Name;ISO;Country;Subregion;Region;Location;Origin;Associated Types;OFDA/BHA Response;Appeal;Declaration;AID Contribution ('000 US$);Magnitude;Magnitude Scale;latitud;longitud;River Basin;Start Year;Start Month;Start Day;End Year;End Month;End Day;Total Deaths;No. Injured;No. Affected;No. Homeless;Total Affected;Reconstruction Costs ('000 US$);Reconstruction Costs, Adjusted ('000 US$);Insured Damage ('000 US$);Insured Damage, Adjusted ('000 US$);Total Damage ('000 US$);Total Damage, Adjusted ('000 US$);CPI;Admin Units;Entry Date;Last Update
desastres_naturales_Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah provinces;;Natural - Climatological - Drought;01/06/2001;1999-9388-DJI;No;nat-cli-dro-dro;Natural;Climatological;Drought;Drought;;;DJI;Djibouti;Sub-Saharan Africa;Africa;Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah provinces;;;Yes;No;No;1556.0;;Km2;5,2;2,3;;2001.0;6.0;;2001.0;;;;;100000.0;;100000.0;;;;;;;58,11147437;"[{""""adm1_code"""":1093,""""adm1_name"""":""""Ali Sabieh""""},{""""adm1_code"""":1094,""""adm1_name"""":""""Dikhil""""},{""""adm1_code"""":1095,""""adm1_name"""":""""Djibouti""""},{""""adm1_code"""":1096,""""adm1_name"""":""""Obock""""},{""""adm1_code"""":1097,""""adm1_name"""":""""Tadjourah""""}]";01/03/2006;25/09/2023
desastres_naturales_Northern Darfur, Northern Kordofan, Red Sea provinces;;Natural - Climatological - Drought;01/01/2000;1999-9388-SDN;No;nat-cli-dro-dro;Natural;Climatological;Drought;Drought;;;SDN;Sudan;Northern Africa;Africa;Northern Darfur, Northern Kordofan, Red Sea provinces;;Food shortage|Water shortage;No;No;No;;;Km2;3,2;1,4;;2000.0;1.0;;2001.0;;;;;2000000.0;;2000000.0;;;;;;;56,51429056;"[{""""adm1_code"""":2757,""""adm1_name"""":""""Northern Darfur""""},{""""adm1_code"""":40772,""""adm1_name"""":""""Red Sea""""},{""""adm1_code"""":68784,""""adm1_name"""":""""Northern Kordofan""""}]";08/03/2006;25/09/2023
desastres_naturales_Ceel Barde, Rab Dhuure, Tayeeglow, Xudur districts (Bakool province), Garbahaarey, Baardheere districts (Gedo province), Bay, Hiraan provinces;;Natural - Climatological - Drought;01/01/2000;1999-9388-SOM;No;nat-cli-dro-dro;Natural;Climatological;Drought;Drought;;;SOM;Somalia;Sub-Saharan Africa;Africa;Ceel Barde, Rab Dhuure, Tayeeglow, Xudur districts (Bakool province), Garbahaarey, Baardheere districts (Gedo province), Bay, Hiraan provinces;;Food shortage;No;No;No;;;Km2;;;;2000.0;1.0;;2001.0;;;21.0;;1200000.0;;1200000.0;;;;;;;56,51429056;"[{""""adm1_code"""":2691,""""adm1_name"""":""""Bay""""},{""""adm1_code"""":2695,""""adm1_name"""":""""Hiraan""""},{""""adm2_code"""":25657,""""adm2_name"""":""""Ceel Barde""""},{""""adm2_code"""":25658,""""adm2_name"""":""""Rab Dhuure""""},{""""adm2_code"""":25659,""""adm2_name"""":""""Tayeeglow""""},{""""adm2_code"""":25661,""""adm2_name"""":""""Xudur""""},{""""adm2_code"""":25678,""""adm2_name"""":""""Baardheere""""},{""""adm2_code"""":25682,""""adm2_name"""":""""Garbahaarey""""}]";08/03/2006;25/09/2023
desastres_naturales_Calulo;;Technological - Transport - Road;26/01/2000;2000-0001-AGO;No;tec-tra-roa-roa;Technological;Transport;Road;Road;;;AGO;Angola;Sub-Saharan Africa;Africa;Calulo;;;No;No;No;;;;;;;2000.0;1.0;26.0;2000.0;1.0;26.0;14.0;11.0;;;11.0;;;;;;;56,51429056;;27/10/2004;25/09/2023
desastres_naturales_Dombre Grande village (Baia Farta district, Benguela province), Massangano village (Cambambe district, Kuanza Norte province);;Natural - Hydrological - Flood;08/01/2000;2000-0002-AGO;No;nat-hyd-flo-riv;Natural;Hydrological;Flood;Riverine flood;;;AGO;Angola;Sub-Saharan Africa;Africa;Dombre Grande village (Baia Farta district, Benguela province), Massangano village (Cambambe district, Kuanza Norte province);Heavy rain;;No;No;Yes;;47000;Km2;;;Coporolo, Kwanza, Lucala;2000.0;1.0;8.0;2000.0;1.0;15.0;31.0;;70000.0;;70000.0;;;;;10000.0;17695.0;56,51429056;"[{""""adm2_code"""":4214,""""adm2_name"""":""""Baia Farta""""},{""""adm2_code"""":4291,""""adm2_name"""":""""Cambambe""""}]";03/02/2005;25/09/2023
desastres_naturales_Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces;;Natural - Meteorological - Extreme temperature;01/01/2000;2000-0003-BGD;No;nat-met-ext-col;Natural;Meteorological;Extreme temperature;Cold wave;;;BGD;Bangladesh;Southern Asia;Asia;Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces;;;No;No;No;;6,4;°C;;;;2000.0;1.0;;2000.0;1.0;;49.0;;;;;;;;;;;56,51429056;"[{""""adm1_code"""":575,""""adm1_name"""":""""Barisal""""},{""""adm1_code"""":576,""""adm1_name"""":""""Chittagong""""},{""""adm1_code"""":577,""""adm1_name"""":""""Dhaka""""},{""""adm1_code"""":578,""""adm1_name"""":""""Khulna""""},{""""adm1_code"""":580,""""adm1_name"""":""""Sylhet""""},{""""adm1_code"""":61362,""""adm1_name"""":""""Rajshahi""""},{""""adm1_code"""":61363,""""adm1_name"""":""""Rangpur""""}]";01/07/2003;25/09/2023
desastres_naturales_Pouso Redondo (Etat de Santa Catarina);;Technological - Transport - Road;12/01/2000;2000-0004-BRA;No;tec-tra-roa-roa;Technological;Transport;Road;Road;;;BRA;Brazil;Latin America and the Caribbean;Americas;Pouso Redondo (Etat de Santa Catarina);;;No;No;No;;;;4,3;5,4;;2000.0;1.0;12.0;2000.0;1.0;12.0;42.0;71.0;;;71.0;;;;;;;56,51429056;;01/07/2003;25/09/2023
